,id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
168,2925378.0,2024-02-13 04:31:54.262000+00:00,-3,-1,-1
169,2925379.0,2024-02-13 04:31:49.036000+00:00,-3,19384938046,209
170,2925380.0,2024-02-13 04:32:05.836000+00:00,-3,-1,-1
171,2925381.0,2024-02-13 04:32:21.395000+00:00,-3,-1,-1
172,2925382.0,2024-02-13 04:32:27.973000+00:00,-3,19384938046,209
173,2925383.0,2024-02-13 04:32:27.973000+00:00,-3,19384938046,209
174,2925384.0,2024-02-13 04:32:55.966000+00:00,1,10308484000,22
175,2925385.0,2024-02-13 04:32:55.966000+00:00,1,10308484000,22
176,2925386.0,2024-02-13 04:35:26.297000+00:00,-3,-1,-1
177,2925387.0,2024-02-13 04:35:35.119000+00:00,-3,-1,-1
178,2925388.0,2024-02-13 04:35:57.698000+00:00,7,3225259367,173
179,2925389.0,2024-02-13 04:36:05.736000+00:00,-3,-1,-1
180,2925390.0,2024-02-13 04:36:06.350000+00:00,-3,-1,-1
181,2925391.0,2024-02-13 04:36:10.684000+00:00,-3,-1,-1
182,2925392.0,2024-02-13 04:35:57.698000+00:00,7,3225259367,173
183,2925393.0,2024-02-13 04:36:17.946000+00:00,-3,-1,-1
184,2925394.0,2024-02-13 04:36:06.350000+00:00,-3,-1,-1
185,2925395.0,2024-02-13 04:36:21.441000+00:00,-3,-1,-1
186,2925396.0,2024-02-13 04:36:27.640000+00:00,7,3225259367,173
187,2925397.0,2024-02-13 04:36:33.583000+00:00,-3,-1,-1
188,2925398.0,2024-02-13 04:36:27.640000+00:00,7,3225259367,173
189,2925399.0,2024-02-13 04:36:33.583000+00:00,-3,-1,-1
190,2925400.0,2024-02-13 04:38:19.146000+00:00,-3,-1,-1
191,2925401.0,2024-02-13 04:38:24.517000+00:00,-3,-1,-1
192,2925402.0,2024-02-13 04:38:56.269000+00:00,3,0,993
193,2925403.0,2024-02-13 04:39:00.502000+00:00,2,28399988003,888
194,2925404.0,2024-02-13 04:39:03.815000+00:00,-3,-1,-1
195,2925405.0,2024-02-13 04:39:06.718000+00:00,-3,-1,-1
196,2925406.0,2024-02-13 04:38:56.269000+00:00,3,0,993
197,2925407.0,2024-02-13 04:39:16.085000+00:00,-3,-1,-1
198,2925408.0,2024-02-13 04:39:00.502000+00:00,2,28399988003,888
199,2925409.0,2024-02-13 04:39:17.280000+00:00,-3,-1,-1
200,2925410.0,2024-02-13 04:39:19.772000+00:00,-3,-1,-1
201,2925411.0,2024-02-13 04:39:27.271000+00:00,3,0,993
202,2925412.0,2024-02-13 04:39:30.198000+00:00,-3,-1,-1
203,2925413.0,2024-02-13 04:39:34.629000+00:00,2,28399988003,888
204,2925414.0,2024-02-13 04:39:39.036000+00:00,-3,-1,-1
205,2925415.0,2024-02-13 04:39:27.271000+00:00,3,0,993
206,2925416.0,2024-02-13 04:39:43.633000+00:00,-3,-1,-1
207,2925417.0,2024-02-13 04:39:34.629000+00:00,2,28399988003,888
208,2925418.0,2024-02-13 04:39:59.240000+00:00,-3,389592220,471
209,2925419.0,2024-02-13 04:40:09.678000+00:00,-3,-1,-1
210,2925420.0,2024-02-13 04:39:59.240000+00:00,-3,389592220,471
211,2925421.0,2024-02-13 04:40:20.570000+00:00,5,8065950137,123
212,2925422.0,2024-02-13 04:40:22.723000+00:00,-3,-1,-1
213,2925423.0,2024-02-13 04:40:37.598000+00:00,-3,389592220,471
214,2925424.0,2024-02-13 04:40:20.570000+00:00,5,8065950137,123
215,2925425.0,2024-02-13 04:40:39.708000+00:00,-3,-1,-1
216,2925426.0,2024-02-13 04:40:37.598000+00:00,-3,389592220,471
217,2925427.0,2024-02-13 04:40:51.745000+00:00,-3,-1,-1
218,2925428.0,2024-02-13 04:41:03.417000+00:00,-3,-1,-1
219,2925429.0,2024-02-13 04:41:34.901000+00:00,6,0,700
220,2925430.0,2024-02-13 04:41:34.901000+00:00,6,0,700
221,2925431.0,2024-02-13 04:45:09.620000+00:00,-3,-1,-1
222,2925432.0,2024-02-13 04:45:20.412000+00:00,-3,389592220,471
223,2925433.0,2024-02-13 04:45:20.412000+00:00,-3,389592220,471
224,2925434.0,2024-02-13 04:45:42.782000+00:00,-3,-1,-1
225,2925435.0,2024-02-13 04:46:05.619000+00:00,-3,-1,-1
226,2925436.0,2024-02-13 04:46:14.687000+00:00,4,700000000,6
227,2925437.0,2024-02-13 04:46:21.669000+00:00,-3,-1,-1
228,2925438.0,2024-02-13 04:46:14.687000+00:00,4,700000000,6
229,2925439.0,2024-02-13 04:46:32.578000+00:00,-3,-1,-1
230,2925440.0,2024-02-13 04:46:43.913000+00:00,4,700000000,6
231,2925441.0,2024-02-13 04:46:46.182000+00:00,-3,-1,-1
232,2925442.0,2024-02-13 04:46:43.913000+00:00,4,700000000,6
233,2925443.0,2024-02-13 04:47:28.550000+00:00,150,4348396530,159
234,2925444.0,2024-02-13 04:47:42.914000+00:00,-3,-1,-1
235,2925445.0,2024-02-13 04:48:14.541000+00:00,1,8150077272,281
236,2925446.0,2024-02-13 04:48:19.288000+00:00,-3,-1,-1
237,2925447.0,2024-02-13 04:48:14.541000+00:00,1,8150077272,281
238,2925448.0,2024-02-13 04:48:30.934000+00:00,-3,-1,-1
239,2925449.0,2024-02-13 04:48:42.392000+00:00,1,8150077272,281
240,2925450.0,2024-02-13 04:48:51.135000+00:00,-3,-1,-1
241,2925451.0,2024-02-13 04:48:42.392000+00:00,1,8150077272,281
242,2925452.0,2024-02-13 04:47:28.550000+00:00,150,4348396530,159
243,2925453.0,2024-02-13 04:49:18.909000+00:00,-3,-1,-1
244,2925454.0,2024-02-13 04:49:20.691000+00:00,-3,-1,-1
245,2925455.0,2024-02-13 04:49:21.261000+00:00,-3,-1,-1
246,2925456.0,2024-02-13 04:49:22.653000+00:00,4,1000000000,4
247,2925457.0,2024-02-13 04:49:27.749000+00:00,-3,-1,-1
248,2925458.0,2024-02-13 04:49:22.653000+00:00,4,1000000000,4
249,2925459.0,2024-02-13 04:49:38.938000+00:00,-3,-1,-1
250,2925460.0,2024-02-13 04:49:49.027000+00:00,4,1000000000,4
251,2925461.0,2024-02-13 04:49:50.802000+00:00,-3,-1,-1
252,2925462.0,2024-02-13 04:49:52.741000+00:00,3,0,-1
253,2925463.0,2024-02-13 04:50:00.288000+00:00,-3,-1,-1
254,2925464.0,2024-02-13 04:50:00.491000+00:00,6,307403141,125
255,2925465.0,2024-02-13 04:50:01.966000+00:00,3,0,-1
256,2925466.0,2024-02-13 04:49:49.027000+00:00,4,1000000000,4
257,2925467.0,2024-02-13 04:50:03.984000+00:00,-3,-1,-1
258,2925468.0,2024-02-13 04:49:52.741000+00:00,3,0,-1
259,2925469.0,2024-02-13 04:50:11.415000+00:00,-3,-1,-1
260,2925470.0,2024-02-13 04:50:13.139000+00:00,-3,-1,-1
261,2925471.0,2024-02-13 04:50:13.503000+00:00,-3,-1,-1
262,2925472.0,2024-02-13 04:50:00.491000+00:00,6,307403141,125
263,2925473.0,2024-02-13 04:50:01.966000+00:00,3,0,-1
264,2925474.0,2024-02-13 04:50:24.506000+00:00,-3,-1,-1
